[2026-05-21 10:58:55] This is codeql database index-files --include-extension=.yaml --include-extension=.yml --also-match-lgtm-index-filters --size-limit=5m --language yaml -- D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db
[2026-05-21 10:58:55] Log file was started late.
[2026-05-21 10:58:55] Using index-files script D:\BaiduNetdiskDownload\codeql\yaml\tools\index-files.cmd.
[2026-05-21 10:58:55] [PROGRESS] database index-files> Scanning for files in D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot...
[2026-05-21 10:58:55] Calling plumbing command: codeql resolve files --include-extension=.yaml --include-extension=.yml --also-match-lgtm-index-filters --size-limit=5m D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot --format=json
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\diagnostic...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\diagnostic\extractors...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\diagnostic\extractors\python...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\diagnostic\tracer...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\log...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\serialize...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\serialize\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\sqli...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-client\pages\sqli\assist...
[2026-05-21 10:58:55] [PROGRESS] resolve files> Scanning D:\BaiduNetdiskDownload\CCAM\CCAMP\pilot\codeql_db\src\D_\BaiduNetdiskDownload\CCAM\CCAMP\pilot\pilot-server...
